county,state,smoking,foodenvironment,physicalinactivity,accesstoexercise,excessivedrinking,drivingalone,population,diabetesprevalence
Montgomery,VA,18.2524428,7.9,22.5,72.55275871,20.38845588,75.20977187,100005,7.3
Pittsylvania,VA,17.83018607,8,28.9,21.53182377,15.03528835,84.56197746,62678,13.8
Charles City,VA,17.55802987,8,26.8,32.34564498,14.19927542,81.99268739,7289,16
Accomack,VA,16.48872724,8,29,36.8984441,15.14161022,80.02745863,32911,15.2
Lunenburg,VA,18.97964612,8,25.2,56.914976,14.48594398,77.86526684,12780,12.3
Salem,VA,15.04733021,8,21.9,91.21845013,18.04595679,81.45475187,25885,10.5
Smyth,VA,18.62162247,8,27.7,93.13214108,16.70789382,85.76298058,31879,12.5
Lee,VA,22.32168614,8.1,33.3,35.98702466,15.88007076,86.5532382,25926,12.6
Amherst,VA,16.76048436,8.1,29.7,40.26519952,16.0363974,82.64208909,32285,12.7
Patrick,VA,18.52556765,8.1,31.5,46.31151974,14.75659972,88.10182623,18360,12.1
Lexington,VA,16.93189906,8.1,20.4,100,21.91085131,52.81264528,7215,8.9
King and Queen,VA,18.27730758,8.2,24,14.51403888,15.27085512,82.69540045,7503,12.5
Richmond County,VA,19.57892377,8.2,23.2,62.34060947,15.0783591,75.05422994,9282,12.4
Waynesboro,VA,16.80850285,8.2,25.4,68.8469961,16.55257911,83.20887992,22030,10.7
Pulaski,VA,17.23396978,8.2,28.3,83.38495068,16.45275311,85.92010478,35181,14
Chesapeake,VA,14.18745337,8.2,23.1,92.09257951,17.06215123,85.82196666,246615,11.4
Henrico,VA,16.26402752,8.2,22.6,96.34026748,17.18986594,82.87487461,326958,9.7
Alleghany,VA,16.4789374,8.2,26.9,100,15.22977373,86.59844055,15864,12.6
Amelia,VA,15.92571636,8.3,25.8,8.502758077,17.10603307,86.69513798,13247,13.5
Floyd,VA,16.88647891,8.3,24.9,40.01570783,17.95328051,77.17952295,15938,11.1
Scott,VA,17.67093126,8.3,32.4,40.79475342,15.18745733,86.86157952,22532,14.4
Franklin County,VA,16.89084233,8.3,24.7,41.25785716,16.17441365,79.43735845,57237,11.3
Galax,VA,19.86043894,8.3,24.7,97.30190287,14.02621275,84.83146067,6922,11
Staunton,VA,17.01890334,8.3,23.8,99.99157753,16.1536269,83.52506868,24924,11.3
Caroline,VA,17.10838129,8.4,26.5,41.14555964,16.50189202,79.47871536,30967,12
Campbell,VA,16.45008131,8.4,27.2,43.08923818,16.70316622,85.94449761,56645,11.1
Appomattox,VA,16.9817774,8.4,27.2,54.73185067,15.76931525,80.10895171,15984,12.8
Lancaster,VA,13.42488456,8.4,25.4,78.12307962,14.12512943,81.3450023,12520,14.8
Colonial Heights,VA,16.08854227,8.4,24.1,99.15570616,15.65936689,86.24983442,17802,11.3
Bland,VA,14.53109774,8.4,21.5,99.92672919,19.06622034,88.94173603,6617,11.7
Bath,VA,16.49995438,8.4,22.9,100,15.33828863,82.69040554,4567,11.2
Northumberland,VA,13.78898867,8.5,26.6,38.33738848,13.65912952,85.8662614,13587,14.7
Westmoreland,VA,17.17274579,8.5,29.7,44.76910737,14.79195984,78.75443437,18313,13.8
Russell,VA,18.5215838,8.5,33,48.08111569,15.7883543,87.54626388,30891,12.9
Nelson,VA,17.14150255,8.5,24.1,52.13715047,15.10146887,77.53065298,15178,11.1
Rockbridge,VA,15.50191256,8.5,25.2,56.4710629,16.05215766,82.22734563,22806,12.3
Orange,VA,15.93280036,8.5,23.1,56.50368866,17.37339229,79.37024973,36286,12.7
Chesterfield,VA,12.93248586,8.5,22.7,74.60282827,17.16819164,85.02747496,347411,10.4
Wythe,VA,17.2154861,8.5,29.1,79.90080383,16.30914727,83.2788671,29404,12.6
Winchester,VA,17.56213164,8.5,21.5,100,17.2484224,67.35361217,27168,9.3
Page,VA,17.00965244,8.6,26.8,32.45570252,15.98168126,77.53069709,24258,11.5
King William,VA,15.66977952,8.6,26.5,50.56793223,18.31625241,87.88543571,17160,11.5
Isle of Wight,VA,14.99738409,8.6,25.1,70.36574993,17.14963735,88.66835911,38020,12.6
James City,VA,12.96375069,8.6,17.1,94.50073871,16.42503925,82.14902579,77427,11.6
Craig,VA,17.3428067,8.6,24,95.81888247,15.99472122,79.65860597,5303,11.5
Washington,VA,17.19547227,8.7,25.3,63.18973686,16.59367911,83.13135593,55412,13.3
Botetourt,VA,13.8704268,8.7,21.1,84.13177266,18.24759641,88.99911538,34426,11.2
Virginia Beach,VA,14.99516484,8.7,21.6,97.17028087,22.01191933,82.13831606,461588,9.1
Louisa,VA,16.81582844,8.8,27.7,31.10427412,16.08650447,80.35258207,36262,13.4
Middlesex,VA,14.68440425,8.8,24.9,37.85929373,14.88629362,81.26306014,11199,13.1
Carroll,VA,17.28010716,8.8,23.3,44.83722788,15.66043589,83.85097979,30127,14.3
Rockingham,VA,15.50771298,8.8,25.1,70.41958225,17.81744149,81.45709319,81306,9.4
Albemarle,VA,12.36807172,8.8,16.7,76.72122866,19.09100841,76.86543304,109126,7
Madison,VA,16.98272055,8.9,23.4,48.39945897,15.58359848,79.06588824,13739,11.1
Spotsylvania,VA,16.88169407,8.9,23.1,73.7248462,20.08563342,78.37710775,134376,11.6
York,VA,13.08275079,8.9,19.4,80.00885983,17.84151657,86.22239772,69465,9.7
Augusta,VA,16.08787506,9,25.9,55.81830509,17.6721677,85.66819741,77501,12.3
Fluvanna,VA,13.95365214,9,20.4,59.06737768,16.9507476,76.92953725,27153,11.4
Shenandoah,VA,16.39875758,9,27.1,74.11235206,17.67654397,81.42029715,43751,11.7
Warren,VA,17.23340875,9,27.3,79.71523619,19.61855397,74.72959685,39560,13.9
Giles,VA,15.37233792,9,26.7,84.1837325,17.75362747,83.43566471,17320,12.2
Roanoke County,VA,15.1007067,9,25.9,86.01801334,17.08968231,86.64482689,95986,11.4
Bedford County,VA,15.08783745,9.1,23.9,53.20168763,17.56569346,83.78633237,79850,13.6
Culpeper,VA,17.19807126,9.1,23.8,66.82087858,17.33861274,80.89258966,51077,10.8
Gloucester,VA,14.88114302,9.1,22.9,67.52129795,18.14842474,83.82476832,39399,11.9
Goochland,VA,13.17014997,9.1,19.1,71.34502924,17.33666274,84.72608654,23768,12.4
Manassas Park,VA,16.15796905,9.1,22,100,17.35727106,70.87354918,15362,9.6
Mathews,VA,14.14678974,9.2,23,51.74871909,15.45330238,77.00837851,8815,11.9
Clarke,VA,15.42036405,9.2,21.2,75.28858487,17.04097484,79.42815249,14757,11.4
Stafford,VA,14.2336345,9.2,19.1,75.75856267,19.29578698,74.47444484,150080,9.9
Hanover,VA,14.71877582,9.2,18.4,82.02437339,20.44809724,83.84654121,109289,10.5
Greene,VA,17.32680423,9.3,23.1,38.58610009,17.3925637,80.21796565,20330,9.8
Poquoson,VA,13.08717714,9.3,22.1,95.40740741,19.4503247,87.08763745,12275,10.8
Prince William,VA,15.17208845,9.3,17.5,97.44653012,17.96745668,75.31824672,454091,8.9
Powhatan,VA,13.82729976,9.4,21.9,75.30842188,19.57281721,83.88592081,29753,11.4
Frederick,VA,13.60390094,9.4,19.1,82.59498116,18.56730182,83.00238095,87411,9.6
Arlington,VA,12.33854163,9.4,15.1,99.98940408,26.10609086,53.37443196,227430,4.7
New Kent,VA,14.268804,9.5,23.5,82.33219383,19.00268508,84.00827668,22201,10.7
Fauquier,VA,13.75670617,9.6,22.1,68.41709737,18.64746604,79.85770147,71009,10.7
Fairfax County,VA,10.40506111,9.7,16.3,99.44181798,17.16204501,71.10622501,1127497,6.9
Manassas,VA,15.0016729,9.8,21.2,100,17.86286558,77.18496409,41469,9
Loudoun,VA,11.34543788,10,15.9,90.28052166,17.06171222,77.2343092,405750,6.9
Fairfax City,VA,11.50935884,10,17.9,100,17.56206169,69.57800207,24078,9.3
Wetzel,WV,23.52520953,6.2,28.6,57.46246156,12.031798,86.83863679,16110,16.6
McDowell,WV,27.85329985,6.6,38.3,32.19373219,9.265155822,87.64910537,23563,17.5
Pocahontas,WV,21.88594983,6.7,24.8,93.34786099,12.30060727,78.12409812,8430,15.7
Hampshire,WV,21.58579922,6.8,26.1,48.25571691,11.44185117,79.57577083,25339,14.2
Clay,WV,23.95422833,6.9,31.2,11.6130407,11.52953158,73.0816078,9952,15.8
Raleigh,WV,23.06649044,6.9,29.9,61.7177494,10.41606315,82.49145194,79442,14.6
Pendleton,WV,20.50884829,6.9,31.2,86.56270305,11.41058341,69.86851717,7387,17.3
Mingo,WV,24.84023615,7.1,38,52.23368978,10.42230016,82.76823719,28121,18.1
Braxton,WV,22.37968795,7.2,28.9,13.26860841,11.36814792,79.57826748,14828,13.4
Roane,WV,23.34531165,7.2,26.7,48.76055206,10.57504217,80.16777802,14424,14.6
Mercer,WV,23.90245428,7.2,32.1,60.05075164,10.0619477,84.54248804,61477,13.4
Calhoun,WV,23.45819775,7.3,27.3,0.642454438,11.87800385,83.19746377,7859,12.9
Gilmer,WV,26.0760071,7.3,26.9,31.37006787,12.61762392,75.86618877,8294,13.3
Fayette,WV,26.50036463,7.3,30.9,62.24070896,11.24181559,81.4247754,45748,17.4
Hardy,WV,20.36710397,7.3,29.4,66.60962567,11.42569813,79.36037442,14560,13.4
Monongalia,WV,19.74177432,7.3,20.5,85.28729896,17.93608962,75.98922897,104685,9.7
Boone,WV,24.70707781,7.5,30.4,4.722075602,12.05690165,86.80278148,24177,15.5
Mason,WV,24.47737848,7.5,31,37.49451032,11.29056433,85.84444444,27397,15.5
Marshall,WV,21.51584106,7.5,26.9,75.3979521,12.94220724,88.50146604,32628,14.9
Cabell,WV,22.49866146,7.5,25.3,82.84554449,12.35049379,82.60217279,97359,14.1
Ohio,WV,18.9589377,7.5,26,92.57250861,13.48171382,79.8791417,43251,13.3
Hancock,WV,20.85150079,7.5,29.5,94.70921893,12.01306936,86.41333435,30164,14.7
Logan,WV,22.30523369,7.6,37.6,26.97384536,10.71718862,82.09350191,38432,19.9
Barbour,WV,23.25190522,7.6,31.2,35.99373079,12.0231635,78.25667417,17568,16.8
Webster,WV,23.65202171,7.6,33.1,45.37906926,10.56681013,81.95173138,9433,15.7
Greenbrier,WV,22.76906603,7.6,29.2,51.32468997,12.05190873,80.27492909,36716,16.6
Wyoming,WV,25.34914319,7.6,36.5,61.06908724,11.3597875,83.54163285,22766,15.9
Kanawha,WV,21.38820071,7.6,26.7,72.53072831,12.98458467,81.59981111,187496,15.1
Grant,WV,21.21193399,7.7,29.9,36.7261456,11.38510771,82.28751312,12489,18.1
Summers,WV,22.99925685,7.7,26.4,51.99971279,10.53144853,84.07017544,14073,14.4
Mineral,WV,22.23758932,7.7,26,61.99489579,12.52058658,82.26097958,28678,15.1
Wood,WV,21.17050736,7.7,25.8,69.82496895,12.62634068,82.94106259,87040,15.6
Tyler,WV,21.09177079,7.7,27.2,74.76107732,12.26743614,85.78680203,9456,14.8
Lincoln,WV,24.32307102,7.8,28.4,15.57090239,11.12312111,84.4598498,21861,17.1
Ritchie,WV,23.6254021,7.8,29.9,30.38568284,11.73007523,85.88940343,10129,15.6
Preston,WV,22.11142024,7.8,27.6,33.38902148,12.6845232,80.46733212,35546,12.4
Wayne,WV,24.47391497,7.8,30.3,49.61276806,11.66409967,85.36172613,43000,17.7
Lewis,WV,21.06869495,7.8,30,54.47104813,12.19822567,83.3687306,16480,15.5
Brooke,WV,19.18417816,7.8,28.9,91.98138685,13.171229,85.84757415,23548,18.3
Nicholas,WV,22.20376144,7.9,31.5,50.512713,12.72400451,87.93839109,27226,13
Marion,WV,25.99293349,7.9,24.6,56.19483144,13.35694635,83.63343404,57767,11.6
Jackson,WV,22.98408511,8,26.4,37.30101674,12.34328458,83.51678341,29834,12.7
Berkeley,WV,22.66051248,8,27.6,44.07357275,13.35364201,82.56516922,118793,11.5
Upshur,WV,21.64425183,8,24.9,63.76267832,12.65168128,80.70322311,25314,13
Harrison,WV,20.16904107,8,29.8,73.03289483,12.95676586,82.7381352,70739,15.5
Randolph,WV,23.53506127,8,30.1,80.24485632,12.14360615,79.45859873,30157,14.5
Monroe,WV,21.63484756,8.1,28.2,39.35713228,11.77831465,83.33660451,13922,18
Morgan,WV,20.36942122,8.1,25.3,63.01807195,11.98874421,77.00214133,18473,15.8
Pleasants,WV,21.43968583,8.1,26.5,66.39053254,12.96141647,89.08966928,7807,14.3
Wirt,WV,22.65981353,8.3,29.1,45.25100577,11.96546278,84.61538462,5761,15.4
Taylor,WV,21.59708561,8.5,28.7,43.97158923,11.93164139,88.45814978,17291,13
Putnam,WV,17.92601038,8.5,24.2,62.47161446,13.56983955,86.52451691,58307,13.5
Doddridge,WV,22.6972134,8.6,26.8,37.46647159,13.55574582,77.23721591,8841,14.6
Tucker,WV,19.98639576,8.6,29.7,98.54362134,12.58991083,79.99300455,6995,15.7
Jefferson,WV,18.7955083,8.9,21.9,54.95532543,15.64129564,79.55150561,58584,10
